SMILES	MOL_WEIGHT	LOGP	#ROTATABLE_BONDS	#ACCEPTORS	#DONORS	SURFACE_AREA	Water solubility	Caco2 permeability	Intestinal absorption (human)	Skin Permeability	P-glycoprotein substrate	P-glycoprotein I inhibitor	P-glycoprotein II inhibitor	VDss (human)	Fraction unbound (human)	BBB permeability	CNS permeability	CYP2D6 substrate	CYP3A4 substrate	CYP1A2 inhibitior	CYP2C19 inhibitior	CYP2C9 inhibitior	CYP2D6 inhibitior	CYP3A4 inhibitior	Total Clearance	Renal OCT2 substrate	AMES toxicity	Max. tolerated dose (human)	hERG I inhibitor	hERG II inhibitor	Oral Rat Acute Toxicity (LD50)	Oral Rat Chronic Toxicity (LOAEL)	Hepatotoxicity	Skin Sensitisation	<i>T.Pyriformis</i> toxicity	Minnow toxicity
CC[C@]1(O)Cc2cc3c(c(O)c2[C@@H](O[C@H]2C[C@H](N(C)C)[C@H](O[C@@H]4C[C@H](O)[C@@H](O[C@H]5CCC(=O)[C@@H](C)O5)[C@H](C)O4)[C@H](C)O2)C1)C(=O)c1c(O)cccc1C3=O	753.842	3.4436	8	14	4	313.78	-3.336	0.185	80.503	-2.735	Yes	Yes	No	1.843	0.172	-2.046	-3.915	No	Yes	No	No	No	No	No	1.077	No	Yes	0.155	No	Yes	3.25	2.263	No	No	0.285	3.857
CC#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)CCO[C@H]4CC[C@]5(C)[C@@H](C4)C[C@@H](O)[C@@H]4[C@@H]5C[C@H](O)[C@@]5(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]45)cc3)C[C@]21C	850.194	9.2633	10	7	4	370.895	-2.947	0.811	92.054	-2.735	Yes	No	Yes	-0.175	0.125	-0.9	-1.99	No	Yes	No	No	No	No	No	-0.661	No	No	0.735	No	No	3.084	0.377	No	No	0.285	-3.055
COc1cc(-c2cc(=O)c3c(O)cc(O)cc3o2)ccc1O	300.266	2.5854	2	6	3	123.998	-3.812	0.949	82.659	-2.735	Yes	No	Yes	-0.143	0.114	-1.111	-2.465	No	No	Yes	No	Yes	No	No	0.732	No	No	0.81	No	No	2.461	1.593	No	No	0.316	0.21
COc1ccc(CC(C)(C)NC[C@H](O)c2cc(O)cc3c2OCC(=O)N3)cc1	386.448	2.376	7	6	4	163.844	-3.569	1.001	68.474	-2.737	Yes	No	No	1.087	0.222	-1.001	-2.768	No	No	No	No	No	No	No	1.096	No	No	-0.073	No	Yes	2.138	2.404	Yes	No	0.329	1.324
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1	391.294	6.1133	6	3	0	163.073	-6.995	1.101	92.582	-2.672	No	Yes	Yes	0.375	0	0.027	-1.393	No	Yes	Yes	Yes	Yes	No	Yes	-0.162	No	Yes	0.84	No	No	3.134	1.507	No	No	0.487	-2.291
COc1cc(N(C)Cc2cnc3nc(N)nc(N)c3c2C)cc(OC)c1OC	384.44	2.15982	6	9	2	162.799	-3.419	0.871	78.841	-2.747	Yes	Yes	No	-0.106	0.139	-0.559	-3.436	No	No	No	No	No	No	Yes	0.35	No	No	0.802	No	Yes	2.454	1.807	Yes	No	0.298	1.224
COc1ccccc1[C@H](Cn1c(=O)n(C(C)(C)C(=O)O)c(=O)c2c(C)c(-c3ncco3)sc21)OC1CCOCC1	569.636	3.95332	9	11	1	233.099	-3.846	0.49	64.37	-2.735	No	No	Yes	-0.366	0.15	-1.727	-3.848	No	Yes	No	No	No	No	No	0.393	No	No	0.767	No	No	2.667	1.181	Yes	No	0.285	1.254
COc1ccc(OC)c(CN(C)c2ccc3nc(N)nc(N)c3c2)c1	339.399	2.4478	5	7	2	145.736	-3.527	0.631	88.167	-2.767	Yes	No	No	-0.28	0.061	-0.204	-2.71	No	No	Yes	No	Yes	No	No	0.303	No	No	0.434	No	Yes	2.69	1.662	Yes	No	0.364	0.36
C[C@H]1C[C@H](C(=O)O)CC[C@H]1C(=O)N1CC[C@@]2(S(=O)(=O)c3ccc(F)cc3)c3ccc(C(F)(C(F)(F)F)C(F)(F)F)cc3CC[C@@H]12	667.615	6.4684	5	4	1	252.867	-3.717	0.947	91.106	-2.735	Yes	No	No	-0.977	0.042	-1.153	-2.918	No	Yes	No	No	No	No	No	-0.457	No	No	0.497	No	No	3.343	1.994	Yes	No	0.285	1.003
CCCCC1(CCCC)CS(=O)(=O)c2ccc(N(C)C)cc2[C@@H](c2ccc(OCc3ccc(C[N+]45CCN(CC4)CC5)cc3)cc2)[C@H]1O	674.972	6.6245	13	6	1	288.579	-4.117	1.049	98.494	-2.735	Yes	Yes	Yes	-0.438	0.209	-0.796	-2.498	No	Yes	No	No	No	No	Yes	0.72	No	No	-0.084	No	Yes	2.497	1.174	No	No	0.285	-2.84
C=CC(C)(C)c1cc(/C=C/C(=O)c2ccc(O)cc2)c(OC)cc1O	338.403	4.4661	6	4	2	147.257	-4.265	1.087	92.963	-2.878	Yes	Yes	No	0.367	0.061	-0.531	-2.087	No	No	Yes	Yes	Yes	No	Yes	0.513	No	No	0.355	No	Yes	2.317	1.724	No	No	0.809	0.073
O=C1Nc2ccc(CN3C(=O)CSC3=O)cc2/C1=C/c1cc(CN2CCOCC2)c[nH]1	438.509	2.535	5	6	2	183.161	-3.444	0.651	81.573	-2.786	Yes	No	Yes	0.639	0.367	-1.14	-2.768	Yes	Yes	No	No	No	No	No	1.313	No	No	-0.459	No	Yes	2.817	1.29	Yes	No	0.338	2.455
O=c1c(O[C@@H]2O[C@H]([C@H](O)CO)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12	464.379	-0.5389	5	12	8	183.901	-3.091	-0.741	34.859	-2.735	Yes	No	No	-0.023	0.138	-1.983	-5.062	No	No	No	No	No	No	No	0.664	No	Yes	0.866	No	Yes	2.852	3.341	No	No	0.285	7.52
O=C(Nc1ccc(S(=O)(=O)N2CCOCC2)cc1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(Cl)s1	576.505	4.1289	7	7	2	216.268	-4.637	0.505	80.221	-2.736	Yes	Yes	Yes	-0.347	0	-1.38	-3.176	No	Yes	No	Yes	Yes	No	Yes	0.139	No	No	0.168	No	Yes	1.928	1.116	Yes	No	0.292	-2.251
N#Cc1ccc(NC(=S)/N=C(\N)Cc2c(Cl)cccc2Cl)cc1	363.273	4.16178	3	2	2	149.091	-4.865	0.848	88.684	-2.857	Yes	Yes	No	0.081	0.153	-0.237	-1.674	No	No	Yes	Yes	Yes	No	Yes	-0.358	Yes	Yes	0.302	No	Yes	2.291	1.556	No	No	1.809	-0.156
COc1c(O)c(OC)c2oc(-c3ccccc3O)cc(=O)c2c1O	330.292	2.594	3	7	3	135.476	-3.85	0.685	76.413	-2.735	Yes	No	Yes	0.309	0.059	-1.125	-3.467	No	No	Yes	No	No	No	No	0.242	No	No	0.407	No	No	2.161	1.863	No	No	0.29	1.074
Cc1n[nH]c2ccc(F)c(Oc3cc(C#N)cc(C#N)c3)c12	292.273	3.54608	2	4	1	124.726	-3.772	1.04	92.632	-2.781	Yes	No	No	-0.117	0.065	-0.114	-2.02	No	Yes	Yes	Yes	Yes	No	No	0.644	No	No	0.209	No	Yes	2.471	1.099	No	No	0.535	0.755
COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1	345.424	2.89974	5	5	1	142.245	-3.018	1.276	85.908	-2.735	Yes	Yes	No	-0.157	0.277	-0.353	-3.019	No	No	Yes	Yes	No	No	Yes	0.933	Yes	Yes	-0.191	No	No	1.994	1.494	Yes	No	0.285	0.88
N=C(N)c1ccc(NC(=O)Nc2ccc(Oc3ccccc3)cc2)cc1	346.39	4.40697	5	3	4	150.676	-4.426	0.641	89.322	-2.739	Yes	Yes	Yes	-0.2	0.038	-0.889	-2.009	No	Yes	Yes	Yes	Yes	No	Yes	0.323	No	Yes	0.676	No	Yes	2.316	1.75	Yes	No	0.329	3.884
O=C(Nc1ccc(O)c(O)c1)c1ccc(O)c(O)c1	261.233	1.7613	2	5	5	107.742	-2.869	-0.538	67.369	-2.735	Yes	No	No	0.351	0.211	-1.383	-2.649	No	No	No	No	No	No	No	0.341	No	No	0.576	No	No	1.856	2.882	No	No	0.335	1.309
CC(C)C[C@H](NC(=O)c1ccco1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)P(=O)(O)O	447.428	2.7681	9	4	5	178.932	-3.803	0.328	58.728	-2.742	Yes	No	Yes	-0.27	0.135	-1.436	-3.187	No	No	No	No	No	No	No	-0.038	No	No	0.366	No	No	2.06	3.59	Yes	No	0.287	0.905
O=C(N/N=C/c1ccc([N+](=O)[O-])o1)c1ccc(O)cc1	275.22	1.6573	4	6	2	112.037	-3.432	0.013	81.766	-2.77	Yes	No	No	-0.532	0.323	-0.637	-2.526	No	No	Yes	No	No	No	No	0.708	No	Yes	0.302	No	No	2.842	2.321	No	No	0.989	1.808
C[C@H]1CCC[C@H](O)CCCCCc2cc(O)cc(O)c2C(=O)O1	322.401	3.2908	0	5	3	136.463	-3.421	1.267	89.694	-3.543	Yes	No	No	0.028	0.366	-1.04	-3.206	No	No	No	No	No	No	Yes	0.992	No	No	-0.467	No	No	2.372	1.582	No	No	0.718	1.749
CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21	423.904	3.65602	5	6	1	179.31	-4.778	1.036	98.261	-2.726	No	Yes	Yes	0.305	0.145	-0.913	-2.379	No	Yes	Yes	Yes	Yes	No	Yes	0.249	Yes	No	-0.461	No	Yes	3.049	1.091	Yes	No	0.367	2.545
O=C1[C@@H](Cc2ccc(Cl)c(Cl)c2)SC(=S)N1NS(=O)(=O)c1cccs1	453.419	3.7198	5	6	1	167.873	-5.928	1.259	90.208	-3.019	No	Yes	Yes	-0.32	0	-0.117	-2.307	No	Yes	No	Yes	Yes	No	Yes	-0.088	No	No	0.138	No	Yes	3.021	1.779	No	No	1.044	-1.221
COc1ccc2[nH]c([S@@](=O)Cc3ncc(C)c(OC)c3C)nc2c1	345.424	2.89974	5	5	1	142.245	-3.066	1.368	85.471	-2.735	Yes	Yes	No	-0.098	0.223	-0.367	-2.958	No	No	Yes	Yes	No	No	Yes	0.938	Yes	Yes	-0.231	No	No	2.179	1.482	Yes	No	0.285	0.586
O=C(O)COc1ccc(-c2c[nH]c(CNC(=O)Nc3ncc(Sc4ccccn4)s3)n2)cc1	482.547	3.8645	9	8	4	196.025	-2.931	-0.004	57.244	-2.735	Yes	No	No	-0.007	0.163	-2.257	-3.343	No	Yes	No	No	No	No	No	0.138	No	No	0.325	No	Yes	2.422	2.216	Yes	No	0.285	0.851
O=C(O)[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	580.285	-4.7014	9	16	9	203.589	-2.311	-0.828	0	-2.735	No	No	No	-0.215	0.422	-2.675	-6.61	No	No	No	No	No	No	No	0.069	No	No	0.312	No	No	2.588	5.713	No	No	0.285	10.602
COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)O)C[C@H]5/C=C\CCCCC[C@H](NC(=O)OC5CCCC5)C(=O)N4C3)cc(-c3csc(NC(C)C)n3)nc2c1	774.941	6.0527	9	11	4	323.946	-3.402	-0.386	61.57	-2.735	Yes	No	No	-0.019	0.097	-2.152	-3.908	No	Yes	No	No	No	No	No	0.216	No	No	0.52	No	No	2.755	2.384	Yes	No	0.285	1.399
CC(/C=C1\SC(=S)N(CC(=O)O)C1=O)=C\c1ccccc1	319.407	2.9187	4	4	1	131.69	-3.386	1.336	90.773	-2.735	No	No	No	-0.859	0.287	0.127	-2.814	No	No	No	No	No	No	No	0.108	No	No	0.698	No	No	2.317	1.335	No	No	0.3	0.881
CC(C)[C@@H](C(=O)N[C@@H](Cc1ccc(OCCF)cc1)C(=O)O)n1cc(COc2ccc3nc(S(N)(=O)=O)sc3c2)nn1	620.685	2.4717	14	11	3	244.057	-3.126	-0.198	48.108	-2.735	Yes	No	No	-1.133	0.059	-2.307	-4.618	No	Yes	No	No	No	No	No	0.003	No	No	0.889	No	No	2.714	2.051	Yes	No	0.285	3.191
O=c1[nH]c(-c2ccc(N3[C@@H]4CC[C@H]3C[C@@H](OCc3c(-c5c(Cl)cccc5Cl)noc3C3CC3)C4)cc2F)no1	571.436	6.7248	7	7	1	232.557	-4.792	-0.008	100	-2.736	Yes	Yes	Yes	0.435	0.096	-1.355	-1.966	No	Yes	No	Yes	Yes	No	Yes	0.033	No	No	0.099	No	Yes	2.8	1.508	Yes	No	0.287	-2.411
CC[C@@]1(O)C[C@H](O[C@H]2C[C@H](N(C)C)[C@H](O[C@H]3C[C@H](O)[C@@H](O[C@H]4CCC(=O)[C@@H](C)O4)[C@H](C)O3)[C@H](C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)[C@H]1O	769.841	2.9345	8	15	5	318.575	-3.202	0.765	68.552	-2.735	Yes	No	No	1.67	0.124	-2.19	-4.269	No	Yes	No	No	No	No	No	0.935	No	Yes	0.504	No	Yes	3.685	2.675	No	No	0.285	4.115
CNc1ccc(-c2ccc3cc(OC[C@H](O)C[18F])ccc3n2)cn1	326.361938	3.0477	6	5	2	138.692	-3.506	1.052	93.874	-2.993	Yes	Yes	No	0.059	0.279	0.013	-2.882	No	Yes	Yes	Yes	No	No	Yes	0.455	No	No	-0.16	No	Yes	2.469	1.177	Yes	No	0.323	2.301
CC(=O)Nc1ccc(CP(=O)([O-])O[C@@H](C)c2ccccc2)cc1	332.316	3.4762	6	4	1	135.395	-4.537	0.886	90.344	-2.952	No	Yes	No	-0.404	0	-0.434	-2.294	No	Yes	Yes	Yes	Yes	No	No	-0.211	No	Yes	0.455	No	Yes	2.028	1.531	No	No	0.938	0.103
